name;number
Acacia caven;19
Acacia deglbata;9
Acacia melanoxylon;107
Acacia retinodes;1
Acer negundo;31
Acer palmatum;42
Acer pseudoplatanus;22
Aesculus hippocastanum;5
Aextoxicon punctatum;2
Ailanthus altissima;29
Araucaria angustifolia;4
Araucaria bidwilli;1
Araucaria heterophylla;1
Aristotelia chilensis;5
Bauhinia candicans;2
Beilschmiedia miersii;5
Betula pendula;44
Brachychiton acerifolius;2
Brachychiton populneus;27
Buddleja globosa;3
Casuarina equisetifolia;17
Catalpa bignonioides;26
Cedrus atlantica;1
Cedrus deodara;2
Ceratonia siliqua;1
Cercis siliquastrum;21
Citrus limon;5
Citrus x sinensis;7
Crataegus monogyna;2
Crinodendron patagua;20
Cryptocarya alba;63
Cupressus arizonica;2
Cupressus macrocarpa;14
Cupressus sempervirens;1
Diospyros kaki;1
Drimys winteri;2
Elaeagnus angustifolia;8
Eriobotrya japonica;1
Erythrina umbrosa;42
Eucalyptus globulus;33
Fagus sylvatica;3
Ficus carica;5
Ficus elastica;1
Fraxinus excelsion;294
Fraxinus ornus;85
Fraxinus spp;1
Gleditsia triacanthos;15
Grevilleg robusta;22
Jacaranda mimosifolia;109
Juglans regia;36
Kageneckia oblonga;2
koelreuteria paniculata;8
Lagerstroemia indica;36
Laurus nobilis;2
Ligustrum japonicum;1
Ligustrum lucidum;111
Liquidambar styraciflua;345
Liriodendron tulipifera;47
Lithraea caustica;3
Luma chequen;3
Maclura pomifera;18
Magnolia grandiflora;19
Malus communis;6
Malus hupehensis;3
Maytenus boaria;55
Melia azedarach;59
Mespilus germanica;2
Morus nigra;20
Olea europaea;9
Parkinsonia aculegta;3
Paulownia tomentosa;3
Persea americana;9
Persea lingue;9
Peumus boldus;2
Phytolacca dioica;4
Pittosporum undulatum;1
Platanus X acerifolia;341
Populus alba;117
Populus deltoides;3
Populus nigra;140
Prosopis alba;1
Prosopis chilensis;6
Prunus armeniaca;10
Prunus cerasifera;43
Prunus domestica;1
Prunus dulcis;7
Prunus persica;8
Prunus spp;2
Prunus subg. Cerasus;8
Pseudotsuga menziesii;1
Punica granatum;5
Pyrus communis;4
Quercus ilex;70
Quercus macrocarpa;1
Quercus nigra;78
Quercus robur;30
Quercus suber;78
Quillaja saponaria;246
Rhododendron sp;2
Robinia pseudoacacia;51
Salix baylonica;3
Schinus latifolius;18
Schinus molle;65
Schinus polygamus;15
Schinus velutinus;3
Senna candolleana;34
Sequoia sempervirens;2
Sophora macrocarpa;1
Styphnolobyum japonicum;9
Tamarix chilensis;7
Tilia americana;5
Ulmus americana;51